"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"failed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","11","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","15","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"unknown","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","2","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","brakes","brakes",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","2","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Tue Aug 16 06:01:41 GMT 2022","Tue Aug 16 06:01:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
